City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
Paris,1900,Archery,Archery,"PETIT, Charles Fr�d�ric",FRA,Men,"au chapelet, 33m",M,Bronze
Paris,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au chapelet, 33m",M,Gold
Paris,1900,Archery,Archery,"THIBAUD, Victor",FRA,Men,"au chapelet, 33m",M,Silver
Paris,1900,Archery,Archery,"MERCIER, Emile",FRA,Men,"au chapelet, 50m",M,Bronze
Paris,1900,Archery,Archery,"MOUGIN, Eug�ne",FRA,Men,"au chapelet, 50m",M,Gold
Paris,1900,Archery,Archery,"HELLE, Henri",FRA,Men,"au chapelet, 50m",M,Silver
Paris,1900,Archery,Archery,"PETIT, Charles Fr�d�ric",FRA,Men,"au cordon dor�, 33m",M,Bronze
Paris,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon dor�, 33m",M,Gold
Paris,1900,Archery,Archery,"THIBAUD, Victor",FRA,Men,"au cordon dor�, 33m",M,Silver
Paris,1900,Archery,Archery,"FISSEUX, Emile",FRA,Men,"au cordon dor�, 50m",M,Bronze
Paris,1900,Archery,Archery,"HEROUIN, Henri",FRA,Men,"au cordon dor�, 50m",M,Gold
Paris,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"au cordon dor�, 50m",M,Silver
Paris,1900,Archery,Archery,"FOULON, Emmanuel",BEL,Men,sur la perche � la herse,M,Gold
Paris,1900,Archery,Archery,"DRUART, Jr.",BEL,Men,sur la perche � la herse,M,Silver
Paris,1900,Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche � la herse,M,Silver
Paris,1900,Archery,Archery,"GLINEUX, Louis",BEL,Men,sur la perche � la pyramide,M,Bronze
Paris,1900,Archery,Archery,"GRUMIAUX, Emile",FRA,Men,sur la perche � la pyramide,M,Gold
Paris,1900,Archery,Archery,"SERRURIER, Auguste",FRA,Men,sur la perche � la pyramide,M,Silver
St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,double american round (60y - 50y - 40y),M,Bronze
St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,double american round (60y - 50y - 40y),M,Gold
St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,double american round (60y - 50y - 40y),M,Silver
St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,double columbia round (50y - 40y - 30y),W,Bronze
St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double columbia round (50y - 40y - 30y),W,Gold
St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,double columbia round (50y - 40y - 30y),W,Silver
St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,double national round (60y - 50y),W,Bronze
St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double national round (60y - 50y),W,Gold
St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,double national round (60y - 50y),W,Silver
St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,double york round (100y - 80y - 60y),M,Bronze
St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,double york round (100y - 80y - 60y),M,Gold
St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,double york round (100y - 80y - 60y),M,Silver
St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"BRYANT, Wallace",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"DALLIN, Cyrus Edwin",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"RICHARDSON, Henry Barber",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"MAXSON, Louis W.",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"SPENCER, Galen Carter",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"CLARK, William A.",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"DUVALL, Samuel Harding",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"HUBBARD, Charles R.",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"WOODRUFF, Charles S.",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"TAYLOR, Louise",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"WOODRUFF, Laura",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,teams FITA round,W,Silver
St Louis,1904,Archery,Archery,"TAYLOR, Mabel",USA,Women,teams FITA round,W,Silver
London,1908,Archery,Archery,"CABARET, Gustave",FRA,Men,continental style 50m,M,Bronze
London,1908,Archery,Archery,"GRISOT, Eugène G.",FRA,Men,continental style 50m,M,Gold
London,1908,Archery,Archery,"VERNET, Louis",FRA,Men,continental style 50m,M,Silver
London,1908,Archery,Archery,"HILL-LOWE, Beatrice Geraldine",GBR,Women,national round (60y - 50y),W,Bronze
London,1908,Archery,Archery,"NEWALL, Sybil Fenton Quenni",GBR,Women,national round (60y - 50y),W,Gold
London,1908,Archery,Archery,"DOD, Charlotte",GBR,Women,national round (60y - 50y),W,Silver
London,1908,Archery,Archery,"RICHARDSON, Henry Barber",USA,Men,york round (100y - 80y - 60y),M,Bronze
London,1908,Archery,Archery,"DOD, William",GBR,Men,york round (100y - 80y - 60y),M,Gold
London,1908,Archery,Archery,"BROOKS-KING, Reginald B.",GBR,Men,york round (100y - 80y - 60y),M,Silver
Antwerp,1920,Archery,Archery,"FLAMAND, Firmin",BEL,Men,fixed bird target large birds,M,Bronze
Antwerp,1920,Archery,Archery,"CLOETENS, Edmond",BEL,Men,fixed bird target large birds,M,Gold
Antwerp,1920,Archery,Archery,"VAN DE PERCK, Louis",BEL,Men,fixed bird target large birds,M,Silver
Antwerp,1920,Archery,Archery,"CLOETENS, Edmond",BEL,Men,fixed bird target large birds teams,M,Gold
Antwerp,1920,Archery,Archery,"FLAMAND, Firmin",BEL,Men,fixed bird target large birds teams,M,Gold
Antwerp,1920,Archery,Archery,"HERMANS, Joseph",BEL,Men,fixed bird target large birds teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN DE PERCK, Louis",BEL,Men,fixed bird target large birds teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN DE VERRE, Auguste",BEL,Men,fixed bird target large birds teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN MOER, Edmond",BEL,Men,fixed bird target large birds teams,M,Gold
Antwerp,1920,Archery,Archery,"CLOETENS, Edmond",BEL,Men,"fixed bird target small bird, teams",M,Gold
Antwerp,1920,Archery,Archery,"FLAMAND, Firmin",BEL,Men,"fixed bird target small bird, teams",M,Gold
Antwerp,1920,Archery,Archery,"HERMANS, Joseph",BEL,Men,"fixed bird target small bird, teams",M,Gold
Antwerp,1920,Archery,Archery,"VAN DE PERCK, Louis",BEL,Men,"fixed bird target small bird, teams",M,Gold
Antwerp,1920,Archery,Archery,"VAN DE VERRE, Auguste",BEL,Men,"fixed bird target small bird, teams",M,Gold
Antwerp,1920,Archery,Archery,"VAN MOER, Edmond",BEL,Men,"fixed bird target small bird, teams",M,Gold
Antwerp,1920,Archery,Archery,"HERMANS, Joseph",BEL,Men,fixed bird target small birds,M,Bronze
Antwerp,1920,Archery,Archery,"VAN MOER, Edmond",BEL,Men,fixed bird target small birds,M,Gold
Antwerp,1920,Archery,Archery,"VAN DE PERCK, Louis",BEL,Men,fixed bird target small birds,M,Silver
Antwerp,1920,Archery,Archery,"BRULE, Julien Louis",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"EPIN, L�on",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"FAUVEL, Pascal",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"GRISOT, Eugène G.",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"LEROY, Paul",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"MABELLON, Artur",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"QUENTIN, L�once Gaston",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"RICHEZ, Eug�ne",FRA,Men,moving bird target 28m teams,M,Bronze
Antwerp,1920,Archery,Archery,"DE BROUWER, Petrus Godefridus",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"PACKBIERS, Jan Joseph",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"THEEUWES, Adrianus Cornelis",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN BUSSELL, Hendrikus",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN GASTEL, Johannes Jacobus",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN GESTEL, Jan-Babtiest-Jozef",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN MERRIENBOER, Adrianus",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"WILLEMS, Theodorus B.",NED,Men,moving bird target 28m teams,M,Gold
Antwerp,1920,Archery,Archery,"ALLAERT, Alphonse",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"DE KNIBBER, Edmond",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"DE MAYER, J�rome",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"DELCON, Louis",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"FIERENS, Louis",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"VAN BEECK, Louis",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"VAN THIELT, Pierre",BEL,Men,moving bird target 28m teams,M,Silver
Antwerp,1920,Archery,Archery,"ALLAERT, Alphonse",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"DE KNIBBER, Edmond",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"DE MAYER, J�rome",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"DELCON, Louis",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"FIERENS, Louis",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN BEECK, Louis",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN THIELT, Pierre",BEL,Men,moving bird target 33m teams,M,Gold
Antwerp,1920,Archery,Archery,"BRULE, Julien Louis",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"EPIN, L�on",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"FAUVEL, Pascal",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"GRISOT, Eugène G.",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"LEROY, Paul",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"MABELLON, Artur",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"QUENTIN, L�once Gaston",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"RICHEZ, Eug�ne",FRA,Men,moving bird target 33m teams,M,Silver
Antwerp,1920,Archery,Archery,"ALLAERT, Alphonse",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"DE KNIBBER, Edmond",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"DE MAYER, J�rome",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"DELCON, Louis",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"FIERENS, Louis",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN BEECK, Louis",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"VAN THIELT, Pierre",BEL,Men,moving bird target 50m teams,M,Gold
Antwerp,1920,Archery,Archery,"BRULE, Julien Louis",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"EPIN, L�on",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"FAUVEL, Pascal",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"GRISOT, Eugène G.",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"LEROY, Paul",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"MABELLON, Artur",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"QUENTIN, L�once Gaston",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"RICHEZ, Eug�ne",FRA,Men,moving bird target 50m teams,M,Silver
Antwerp,1920,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"moving bird target, 28m",M,Gold
Antwerp,1920,Archery,Archery,"QUENTIN, L�once Gaston",FRA,Men,"moving bird target, 28m",M,Silver
Antwerp,1920,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"moving bird target, 33m",M,Gold
Antwerp,1920,Archery,Archery,"BRULE, Julien Louis",FRA,Men,"moving bird target, 33m",M,Silver
Antwerp,1920,Archery,Archery,"BRULE, Julien Louis",FRA,Men,"moving bird target, 50m",M,Gold
Antwerp,1920,Archery,Archery,"VAN INNIS, Hubert",BEL,Men,"moving bird target, 50m",M,Silver
Munich,1972,Archery,Archery,"LAASONEN, Ky�sti Kalevi",FIN,Men,individual FITA round,M,Bronze
Munich,1972,Archery,Archery,"WILLIAMS, John Chester",USA,Men,individual FITA round,M,Gold
Munich,1972,Archery,Archery,"JERVILL, Gunnar",SWE,Men,individual FITA round,M,Silver
Munich,1972,Archery,Archery,"GAPCHENKO, Emma",URS,Women,individual FITA round,W,Bronze
Munich,1972,Archery,Archery,"WILBER, Doreen Viola Hansen",USA,Women,individual FITA round,W,Gold
Munich,1972,Archery,Archery,"SZYDLOWSKA, Irena",POL,Women,individual FITA round,W,Silver
Montreal,1976,Archery,Archery,"FERRARI, Giancarlo",ITA,Men,individual FITA round,M,Bronze
Montreal,1976,Archery,Archery,"PACE, Darrell Owen",USA,Men,individual FITA round,M,Gold
Montreal,1976,Archery,Archery,"MICHINAGA, Hiroshi",JPN,Men,individual FITA round,M,Silver
Montreal,1976,Archery,Archery,"RUSTAMOVA, Zebiniso",URS,Women,individual FITA round,W,Bronze
Montreal,1976,Archery,Archery,"RYON, Luann Marie",USA,Women,individual FITA round,W,Gold
Montreal,1976,Archery,Archery,"KOVPAN, Valentina",URS,Women,individual FITA round,W,Silver
Moscow,1980,Archery,Archery,"FERRARI, Giancarlo",ITA,Men,individual FITA round,M,Bronze
Moscow,1980,Archery,Archery,"POIKOLAINEN, Tomi",FIN,Men,individual FITA round,M,Gold
Moscow,1980,Archery,Archery,"ISACHENKO, Boris",URS,Men,individual FITA round,M,Silver
Moscow,1980,Archery,Archery,"MERILUOTO-AALTONEN, Paivi",FIN,Women,individual FITA round,W,Bronze
Moscow,1980,Archery,Archery,"LOSABERIDZE, Keto",URS,Women,individual FITA round,W,Gold
Moscow,1980,Archery,Archery,"BUTUZOVA, Natalia",URS,Women,individual FITA round,W,Silver
Los Angeles,1984,Archery,Archery,"YAMAMOTO, Hiroshi",JPN,Men,individual FITA round,M,Bronze
Los Angeles,1984,Archery,Archery,"PACE, Darrell Owen",USA,Men,individual FITA round,M,Gold
Los Angeles,1984,Archery,Archery,"MCKINNEY, Richard Lee",USA,Men,individual FITA round,M,Silver
Los Angeles,1984,Archery,Archery,"KIM, Jin-Ho",KOR,Women,individual FITA round,W,Bronze
Los Angeles,1984,Archery,Archery,"SEO, Hyang-Soon",KOR,Women,individual FITA round,W,Gold
Los Angeles,1984,Archery,Archery,"LI, Ling-Juan",CHN,Women,individual FITA round,W,Silver
Seoul,1988,Archery,Archery,"ESHEEV, Vladimir",URS,Men,individual FITA round,M,Bronze
Seoul,1988,Archery,Archery,"BARRS, Jay",USA,Men,individual FITA round,M,Gold
Seoul,1988,Archery,Archery,"PARK, Sung-Soo",KOR,Men,individual FITA round,M,Silver
Seoul,1988,Archery,Archery,"YUN, Young-Sook",KOR,Women,individual FITA round,W,Bronze
Seoul,1988,Archery,Archery,"KIM, Soo-Nyung",KOR,Women,individual FITA round,W,Gold
Seoul,1988,Archery,Archery,"WANG, Hee-Kyung",KOR,Women,individual FITA round,W,Silver
Seoul,1988,Archery,Archery,"HALLARD, Steven",GBR,Men,teams FITA round,M,Bronze
Seoul,1988,Archery,Archery,"PRIESTMAN, Richard John",GBR,Men,teams FITA round,M,Bronze
Seoul,1988,Archery,Archery,"WATSON, Leroy",GBR,Men,teams FITA round,M,Bronze
Seoul,1988,Archery,Archery,"CHUN, In-Soo",KOR,Men,teams FITA round,M,Gold
Seoul,1988,Archery,Archery,"LEE, Han-Sup",KOR,Men,teams FITA round,M,Gold
Seoul,1988,Archery,Archery,"PARK, Sung-Soo",KOR,Men,teams FITA round,M,Gold
Seoul,1988,Archery,Archery,"BARRS, Jay",USA,Men,teams FITA round,M,Silver
Seoul,1988,Archery,Archery,"MCKINNEY, Richard Lee",USA,Men,teams FITA round,M,Silver
Seoul,1988,Archery,Archery,"PACE, Darrell Owen",USA,Men,teams FITA round,M,Silver
Seoul,1988,Archery,Archery,"OCHS, Deborah Lynn",USA,Women,teams FITA round,W,Bronze
Seoul,1988,Archery,Archery,"PARKER, Denise",USA,Women,teams FITA round,W,Bronze
Seoul,1988,Archery,Archery,"SKILLMAN, Melanie Soltysik",USA,Women,teams FITA round,W,Bronze
Seoul,1988,Archery,Archery,"KIM, Soo-Nyung",KOR,Women,teams FITA round,W,Gold
Seoul,1988,Archery,Archery,"WANG, Hee-Kyung",KOR,Women,teams FITA round,W,Gold
Seoul,1988,Archery,Archery,"YUN, Young-Sook",KOR,Women,teams FITA round,W,Gold
Seoul,1988,Archery,Archery,"HANDAYANI, Lilies",INA,Women,teams FITA round,W,Silver
Seoul,1988,Archery,Archery,"SAIMAN, Nurfitriyana",INA,Women,teams FITA round,W,Silver
Seoul,1988,Archery,Archery,"WARDHANI, Kusuma",INA,Women,teams FITA round,W,Silver
Barcelona,1992,Archery,Archery,"TERRY, Simon",GBR,Men,individual (FITA Olympic round - 70m),M,Bronze
Barcelona,1992,Archery,Archery,"FLUTE, Sebastien",FRA,Men,individual (FITA Olympic round - 70m),M,Gold
Barcelona,1992,Archery,Archery,"CHUNG, Jae-Hun",KOR,Men,individual (FITA Olympic round - 70m),M,Silver
Barcelona,1992,Archery,Archery,"VALEEVA, Natalia",EUN,Women,individual (FITA Olympic round - 70m),W,Bronze
Barcelona,1992,Archery,Archery,"CHO, Youn-Jeong",KOR,Women,individual (FITA Olympic round - 70m),W,Gold
Barcelona,1992,Archery,Archery,"KIM, Soo-Nyung",KOR,Women,individual (FITA Olympic round - 70m),W,Silver
Barcelona,1992,Archery,Archery,"HALLARD, Steven",GBR,Men,team (FITA Olympic round - 70m),M,Bronze
Barcelona,1992,Archery,Archery,"PRIESTMAN, Richard John",GBR,Men,team (FITA Olympic round - 70m),M,Bronze
Barcelona,1992,Archery,Archery,"TERRY, Simon",GBR,Men,team (FITA Olympic round - 70m),M,Bronze
Barcelona,1992,Archery,Archery,"HOLGADO ROMERO, Juan Carlos",ESP,Men,team (FITA Olympic round - 70m),M,Gold
Barcelona,1992,Archery,Archery,"MENENDEZ VALLIN, Alfonso",ESP,Men,team (FITA Olympic round - 70m),M,Gold
Barcelona,1992,Archery,Archery,"VAZQUEZ, Antonio",ESP,Men,team (FITA Olympic round - 70m),M,Gold
Barcelona,1992,Archery,Archery,"FALCK, Ismo Kalevi",FIN,Men,team (FITA Olympic round - 70m),M,Silver
Barcelona,1992,Archery,Archery,"LIPPONEN, Jari",FIN,Men,team (FITA Olympic round - 70m),M,Silver
Barcelona,1992,Archery,Archery,"POIKOLAINEN, Tomi",FIN,Men,team (FITA Olympic round - 70m),M,Silver
Barcelona,1992,Archery,Archery,"ARZHANNIKOVA, Lyudmila",EUN,Women,team (FITA Olympic round - 70m),W,Bronze
Barcelona,1992,Archery,Archery,"KVRIVICHVILI, Khatouna",EUN,Women,team (FITA Olympic round - 70m),W,Bronze
Barcelona,1992,Archery,Archery,"VALEEVA, Natalia",EUN,Women,team (FITA Olympic round - 70m),W,Bronze
Barcelona,1992,Archery,Archery,"CHO, Youn-Jeong",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Barcelona,1992,Archery,Archery,"KIM, Soo-Nyung",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Barcelona,1992,Archery,Archery,"LEE, Eun Kyung",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Barcelona,1992,Archery,Archery,"MA, Xiangjun",CHN,Women,team (FITA Olympic round - 70m),W,Silver
Barcelona,1992,Archery,Archery,"WANG, Hong",CHN,Women,team (FITA Olympic round - 70m),W,Silver
Barcelona,1992,Archery,Archery,"WANG, Xiaozhu",CHN,Women,team (FITA Olympic round - 70m),W,Silver
Atlanta,1996,Archery,Archery,"OH, Kyo-Moon",KOR,Men,individual (FITA Olympic round - 70m),M,Bronze
Atlanta,1996,Archery,Archery,"HUISH, Justin",USA,Men,individual (FITA Olympic round - 70m),M,Gold
Atlanta,1996,Archery,Archery,"PETERSSON, Magnus",SWE,Men,individual (FITA Olympic round - 70m),M,Silver
Atlanta,1996,Archery,Archery,"SADOVNYCHA, Olena",UKR,Women,individual (FITA Olympic round - 70m),W,Bronze
Atlanta,1996,Archery,Archery,"KIM, Kyung-Wook",KOR,Women,individual (FITA Olympic round - 70m),W,Gold
Atlanta,1996,Archery,Archery,"HE, Ying",CHN,Women,individual (FITA Olympic round - 70m),W,Silver
Atlanta,1996,Archery,Archery,"BISIANI, Matteo",ITA,Men,team (FITA Olympic round - 70m),M,Bronze
Atlanta,1996,Archery,Archery,"FRANGILLI, Michele",ITA,Men,team (FITA Olympic round - 70m),M,Bronze
Atlanta,1996,Archery,Archery,"PARENTI, Andrea",ITA,Men,team (FITA Olympic round - 70m),M,Bronze
Atlanta,1996,Archery,Archery,"HUISH, Justin",USA,Men,team (FITA Olympic round - 70m),M,Gold
Atlanta,1996,Archery,Archery,"JOHNSON, Richard",USA,Men,team (FITA Olympic round - 70m),M,Gold
Atlanta,1996,Archery,Archery,"WHITE, Rodney",USA,Men,team (FITA Olympic round - 70m),M,Gold
Atlanta,1996,Archery,Archery,"JANG, Yong-Ho",KOR,Men,team (FITA Olympic round - 70m),M,Silver
Atlanta,1996,Archery,Archery,"KIM, Bo-Ram",KOR,Men,team (FITA Olympic round - 70m),M,Silver
Atlanta,1996,Archery,Archery,"OH, Kyo-Moon",KOR,Men,team (FITA Olympic round - 70m),M,Silver
Atlanta,1996,Archery,Archery,"DZIECIOL, Iwona",POL,Women,team (FITA Olympic round - 70m),W,Bronze
Atlanta,1996,Archery,Archery,"KLATA, Katarzyna",POL,Women,team (FITA Olympic round - 70m),W,Bronze
Atlanta,1996,Archery,Archery,"NOWICKA, Joanna",POL,Women,team (FITA Olympic round - 70m),W,Bronze
Atlanta,1996,Archery,Archery,"KIM, Jo-Sun",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Atlanta,1996,Archery,Archery,"KIM, Kyung-Wook",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Atlanta,1996,Archery,Archery,"YOUN, Hye-Young",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Atlanta,1996,Archery,Archery,"MENSING, Barbara",GER,Women,team (FITA Olympic round - 70m),W,Silver
Atlanta,1996,Archery,Archery,"PFOHL, Cornelia",GER,Women,team (FITA Olympic round - 70m),W,Silver
Atlanta,1996,Archery,Archery,"WAGNER, Sandra",GER,Women,team (FITA Olympic round - 70m),W,Silver
Sydney,2000,Archery,Archery,"VAN ALTEN, Wietse",NED,Men,individual (FITA Olympic round - 70m),M,Bronze
Sydney,2000,Archery,Archery,"FAIRWEATHER, Simon",AUS,Men,individual (FITA Olympic round - 70m),M,Gold
Sydney,2000,Archery,Archery,"WUNDERLE, Victor",USA,Men,individual (FITA Olympic round - 70m),M,Silver
Sydney,2000,Archery,Archery,"KIM, Soo-Nyung",KOR,Women,individual (FITA Olympic round - 70m),W,Bronze
Sydney,2000,Archery,Archery,"YUN, Mi-Jin",KOR,Women,individual (FITA Olympic round - 70m),W,Gold
Sydney,2000,Archery,Archery,"KIM, Nam-Soon",KOR,Women,individual (FITA Olympic round - 70m),W,Silver
Sydney,2000,Archery,Archery,"JOHNSON, Richard",USA,Men,team (FITA Olympic round - 70m),M,Bronze
Sydney,2000,Archery,Archery,"WHITE, Rodney",USA,Men,team (FITA Olympic round - 70m),M,Bronze
Sydney,2000,Archery,Archery,"WUNDERLE, Victor",USA,Men,team (FITA Olympic round - 70m),M,Bronze
Sydney,2000,Archery,Archery,"JANG, Yong-Ho",KOR,Men,team (FITA Olympic round - 70m),M,Gold
Sydney,2000,Archery,Archery,"KIM, Chung-Tae",KOR,Men,team (FITA Olympic round - 70m),M,Gold
Sydney,2000,Archery,Archery,"OH, Kyo-Moon",KOR,Men,team (FITA Olympic round - 70m),M,Gold
Sydney,2000,Archery,Archery,"BISIANI, Matteo",ITA,Men,team (FITA Olympic round - 70m),M,Silver
Sydney,2000,Archery,Archery,"DI BUO, Ilario",ITA,Men,team (FITA Olympic round - 70m),M,Silver
Sydney,2000,Archery,Archery,"FRANGILLI, Michele",ITA,Men,team (FITA Olympic round - 70m),M,Silver
Sydney,2000,Archery,Archery,"MENSING, Barbara",GER,Women,team (FITA Olympic round - 70m),W,Bronze
Sydney,2000,Archery,Archery,"PFOHL, Cornelia",GER,Women,team (FITA Olympic round - 70m),W,Bronze
Sydney,2000,Archery,Archery,"WAGNER, Sandra",GER,Women,team (FITA Olympic round - 70m),W,Bronze
Sydney,2000,Archery,Archery,"KIM, Nam-Soon",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Sydney,2000,Archery,Archery,"KIM, Soo-Nyung",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Sydney,2000,Archery,Archery,"YUN, Mi-Jin",KOR,Women,team (FITA Olympic round - 70m),W,Gold
Sydney,2000,Archery,Archery,"BURDEYNA, Nataliya",UKR,Women,team (FITA Olympic round - 70m),W,Silver
Sydney,2000,Archery,Archery,"SADOVNYCHA, Olena",UKR,Women,team (FITA Olympic round - 70m),W,Silver
Sydney,2000,Archery,Archery,"SERDYUK, Kateryna",UKR,Women,team (FITA Olympic round - 70m),W,Silver
